,headline,cleaned headline,score,sentiment
14,"Closing Bell: Sensex, Nifty50 halt 7-day losing streak, recover half of previous day's losses; Russia-Ukraine crisis remains in focus",close bell sensex nifti halt day lose streak recov half previou day loss russia ukrain crisi remain focu,-0.16666666666666666,Negative
15,"DLF, Indus Towers and more: Key stocks that moved the most on Feb 25",dlf indu tower key stock move feb,0.0,Neutral
16,"Your Stocks: Here's what experts say on HDFC AMC, Cipla, GAIL, Castrol",stock expert say hdfc amc cipla gail castrol,0.0,Neutral
17,T+1 settlement: A list of 100 stocks moved to new system,settlement list stock move new system,0.13636363636363635,Positive
18,"Russia-Ukraine war: Long-term impact of sanctions, Russian retaliation a big question, says expert",russia ukrain war long term impact sanction russian retali big question say expert,-0.016666666666666666,Negative
19,Expect gold prices to settle around $1900-1980 in short term: Metals Focus,expect gold price settl around short term metal focu,0.0,Neutral
20,"ONGC up 2%, Indraprastha Gas jumps nearly 5%; here's why oil and gas shares are surging",ongc indraprastha ga jump nearli oil ga share surg,0.0,Neutral
21,Don’t expect crude to stay above $100 for long: Bank Julius Baer,expect crude stay long bank juliu baer,-0.375,Negative
22,CLSA upgrades rating on DLF shares,clsa upgrad rate dlf share,0.0,Neutral
23,Gas prices continue to climb higher,ga price continu climb higher,0.25,Positive
24,Apollo Hospitals Enterprise to replace IOC in Nifty 50 index,apollo hospit enterpris replac ioc nifti index,0.0,Neutral
25,"Jefferies reiterates 'buy' on Indus Towers, cuts target price",jefferi reiter buy indu tower cut target price,0.0,Neutral
26,"Adani Power to get Rs 4200 crore compensatory tariff from 3 Rajasthan discoms, rules Supreme Court; shares rally 12%",adani power get rs crore compensatori tariff rajasthan discom rule suprem court share ralli,0.0,Neutral
27,"Prefer large banks, IT services; see downside risk to earnings estimates for consumer stocks: Macquarie",prefer larg bank servic see downsid risk earn estim consum stock macquari,0.0,Neutral
28,Managing volatility in portfolio best way to navigate markets: Bernstein,manag volatil portfolio best way navig market bernstein,1.0,Positive
29,UPL shares surge 5% as board mulls buyback plan on March 2,upl share surg board mull buyback plan march,0.0,Neutral
30,"Gold prices expected to reach Rs 55,000 this year, say experts",gold price expect reach rs year say expert,0.0,Neutral
31,Oil may head back to $80-90/bbl: Experts,oil may head back bbl expert,0.0,Neutral
32,"Hedge some allocations in equity with gold, others: Standard Chartered Wealth",hedg alloc equiti gold other standard charter wealth,-0.0625,Negative
33,"Who is Anand Subramanian, ex-NSE executive and alleged yogi arrested in the colocation scam?",anand subramanian ex nse execut alleg yogi arrest coloc scam,-0.05,Negative
34,"Opening Bell: Sensex, Nifty snap 7-day losing streak; open over 1% up amid sharp pullback in US, Asian markets",open bell sensex nifti snap day lose streak open amid sharp pullback us asian market,-0.03125,Negative
35,Global signal: Is 'peak' geopolitical risk priced into markets now?,global signal peak geopolit risk price market,0.0,Neutral
36,NSE colocation scam: Anand Subramanian arrested by CBI in Chennai,nse coloc scam anand subramanian arrest cbi chennai,-0.05,Negative
37,"Top stock tips by Shrikant Chouhan, Mitessh Thakkar: Infosys, ICICI Bank, GNFC and more",top stock tip shrikant chouhan mitessh thakkar infosi icici bank gnfc,0.5,Positive
38,"MarketBuzz Podcast With Reema Tendulkar: Sensex, Nifty likely to make a positive start today",marketbuzz podcast reema tendulkar sensex nifti like make posit start today,0.0,Neutral
39,"Commodities round-up: Brent rebounds above $100/bbl, gold near 18-month high",commod round brent rebound bbl gold near month high,0.02,Positive
40,"Key bond market deals: HDFC, Axis Finance, Shriram Transport Finance",key bond market deal hdfc axi financ shriram transport financ,0.0,Neutral
41,March F&O series begins with 77% rollover from February series,march f seri begin rollov februari seri,0.0,Neutral
42,10 things you should know before opening bell on Feb 25,thing know open bell feb,0.0,Neutral
43,"Friday's top brokerage calls: ONGC, Indus Towers, IndiGo and DLF",friday top brokerag call ongc indu tower indigo dlf,0.5,Positive
44,"Trade setup for Feb 25: Can Nifty50 handle more shockwaves? Key market cues, what technical charts suggest",trade setup feb nifti handl shockwav key market cue technic chart suggest,0.0,Neutral
45,"Infosys, SpiceJet, IndiGo, Indian Oil, Apollo Hospitals and more: Top stocks to watch out for on Feb 25",infosi spicejet indigo indian oil apollo hospit top stock watch feb,0.5,Positive
46,"FIIs net sell Indian shares worth over Rs 6,400 crore on Thursday",fii net sell indian share worth rs crore thursday,0.15,Positive
47,Russia-Ukraine war: Here's how Indian pharma cos might be impacted,russia ukrain war indian pharma co might impact,0.0,Neutral
48,"Oil rips past $100, world stocks slump as Russia invades Ukraine",oil rip past world stock slump russia invad ukrain,-0.25,Negative
49,"SEBI extends nomination deadline for trading, demat account holders to March 2023",sebi extend nomin deadlin trade demat account holder march,0.0,Neutral
50,Breather for HNIs as SEBI defers 50% F&O cash margin rule to May 2,breather hni sebi defer f cash margin rule may,0.0,Neutral
51,"News wrap Feb 24: Russia conducts 'military operation' in Ukraine; Oil breaches $100 for first time since 2014; Bitcoin plunges below $35,000",news wrap feb russia conduct militari oper ukrain oil breach first time sinc bitcoin plung,0.25,Positive
52,Explained: Are investors liquidating equity and moving towards gold?,explain investor liquid equiti move toward gold,0.0,Neutral
53,"India pays back Cairn Rs 7,900 crore to settle over 7-year-old retro tax dispute",india pay back cairn rs crore settl year old retro tax disput,0.05,Positive
54,Top News Podcast: NATO summit on Russia-Ukraine war on Feb 25,top news podcast nato summit russia ukrain war feb,0.5,Positive
55,Market correction brings valuations to historical averages: Nilesh Shah,market correct bring valuat histor averag nilesh shah,0.0,Neutral
56,"Thursday's top brokerage calls: Infosys, Mindtree, TCS, Wipro and more",thursday top brokerag call infosi mindtre tc wipro,0.5,Positive
57,Market crash: Dos and don’ts for first-time investors sitting on losses,market crash do ts first time investor sit loss,0.25,Positive
58,Mindtree unveils 3-pronged strategy to sustain revenue growth momentum,mindtre unveil prong strategi sustain revenu growth momentum,0.0,Neutral
59,Russia-Ukraine crisis: Fear index India VIX hits 20-month high amid heightened geopolitical tensions,russia ukrain crisi fear index india vix hit month high amid heighten geopolit tension,0.16,Positive
60,"Stock Market Highlights: Sensex tanks 2,702 pts, Nifty cracks below 16,250 as Russia invades Ukraine; fear index VIX surges 30%",stock market highlight sensex tank pt nifti crack russia invad ukrain fear index vix surg,0.0,Neutral
61,Dollar strengthening due to Russia-Ukraine crisis: Bank of America,dollar strengthen due russia ukrain crisi bank america,-0.125,Negative
62,"Oil & gas, energy stocks plunge over 10% as Russia attacks Ukraine, crude oil soars past $100",oil ga energi stock plung russia attack ukrain crude oil soar past,-0.475,Negative
63,Rupee plummets 102 paise to close at 75.63/USD amid Ukraine crisis,rupe plummet pais close usd amid ukrain crisi,0.0,Neutral
64,These 10 Nifty stocks cost investors Rs 2.4 lakh crore in 7 days,nifti stock cost investor rs lakh crore day,0.0,Neutral
65,"Closing Bell: Sensex closes 2,700 points down, Nifty below 16,300 as Russia invades Ukraine",close bell sensex close point nifti russia invad ukrain,0.0,Neutral
66,Brent can hit $130/bbl: Energy Aspects,brent hit bbl energi aspect,0.0,Neutral
67,Crude may reach $110-115/bbl soon on Russia-Ukraine conflict: XM Australia,crude may reach bbl soon russia ukrain conflict xm australia,-0.7,Negative
68,"Worst day for Sensex, Nifty50 in nearly 21 months after Russia invades Ukraine; here's what else is hurting the bulls",worst day sensex nifti nearli month russia invad ukrain els hurt bull,-1.0,Negative
69,"Tata Motors, Indus Towers, Adani Wilmar and more: Key stocks that moved the most on Feb 24",tata motor indu tower adani wilmar key stock move feb,0.0,Neutral
70,Revlimid generic to launch in March,revlimid gener launch march,0.0,Neutral
71,"Sensex crash: Keep cash in hand should market correct 5-10%, says Nilesh Shah",sensex crash keep cash hand market correct say nilesh shah,0.0,Neutral
72,Pockets in market worth revisiting,pocket market worth revisit,0.3,Positive
73,Mad About Markets: Experts discuss road ahead for 'house of brands' business model in India,mad market expert discuss road ahead hous brand busi model india,-0.625,Negative
74,Expect some potential upside to crude: Wells Fargo Investment,expect potenti upsid crude well fargo invest,-0.7,Negative
75,Adani Wilmar slumps 6% as Russia-Ukraine crisis seen weighing on ops,adani wilmar slump russia ukrain crisi seen weigh op,0.0,Neutral
76,"No change in LIC IPO plan, don’t see Russia-Ukraine crisis impact yet: Sources",chang lic ipo plan see russia ukrain crisi impact yet sourc,0.0,Neutral
77,New T+1 settlement rules to be implemented from tomorrow: Here’s everything you need to know,new settlement rule implement tomorrow everyth need know,0.13636363636363635,Positive
78,"Bitcoin plunges below $35,000 after Russian President Putin orders military operation in Ukraine",bitcoin plung russian presid putin order militari oper ukrain,0.0,Neutral
79,Vodafone likely to sell 5% stake in Indus Towers,vodafon like sell stake indu tower,0.0,Neutral
80,"Sensex crashes, Nifty below 16,550: This is not the time to sell out, says expert",sensex crash nifti not time sell say expert,0.0,Neutral
81,Indus Towers tank 14% following block deal,indu tower tank follow block deal,0.0,Neutral
82,Momentumisers: IndusInd Bank in focus,momentumis indusind bank focu,0.0,Neutral
83,"Opening Bell: Sensex, Nifty fall over 3% as Russia-Ukraine tensions escalate; crude oil tops $100",open bell sensex nifti fall russia ukrain tension escal crude oil top,-0.06666666666666665,Negative
84,"Key bond market deals: HPCL, HDFC, Tata Power",key bond market deal hpcl hdfc tata power,0.0,Neutral
85,"Top stock tips by Sudarshan Sukhani, Mitessh Thakkar: Bharti Airtel, Oberoi Realty and more",top stock tip sudarshan sukhani mitessh thakkar bharti airtel oberoi realti,0.5,Positive
86,Stocks extend sell-off as U.S. warns of imminent Russian invasion of Ukraine,stock extend sell u warn immin russian invas ukrain,0.0,Neutral
87,Global signal: US market fell sharply on very low volumes,global signal us market fell sharpli low volum,0.0,Neutral
88,10 things you should know before opening bell on Feb 24,thing know open bell feb,0.0,Neutral
89,"MarketBuzz Podcast With Reema Tendulkar: Sensex, Nifty likely to make a gap-down start today; SGX Nifty futures drop",marketbuzz podcast reema tendulkar sensex nifti like make gap start today sgx nifti futur drop,0.0,Neutral
90,Commodities round-up: Crude oil price consolidates at $97-98/bbl,commod round crude oil price consolid bbl,-0.44999999999999996,Negative
91,"Trade setup for Feb 24: Will Nifty break out of range ahead of F&O expiry? Key market cues, what technical charts suggest",trade setup feb nifti break rang ahead f expiri key market cue technic chart suggest,0.0,Neutral
92,"Indus Towers, Vedanta, Sun Pharma, Wipro and more: Top stocks to watch out for on Feb 24",indu tower vedanta sun pharma wipro top stock watch feb,0.5,Positive
93,Wall Street opening higher as market stages partial recovery,wall street open higher market stage partial recoveri,0.049999999999999996,Positive
94,"Bernstein has 'outperform' rating on Reliance Industries, calls RRVL 'king of India retail'",bernstein outperform rate relianc industri call rrvl king india retail,0.0,Neutral
95,The Medicine Box: Sun Pharma's US arm Taro acquires skin care company Alchemee for $90 million,medicin box sun pharma us arm taro acquir skin care compani alcheme million,0.0,Neutral
96,"CBI, I-T Dept on the hunt for final beneficiaries in NSE colocation case",cbi dept hunt final beneficiari nse coloc case,0.0,Neutral
97,Govt to soon decide on Sebi Chairman appointment,govt soon decid sebi chairman appoint,0.0,Neutral
98,"RCap insolvency: Administrator invites EOIs by March 11, final shortlist expected by March 26",rcap insolv administr invit eoi march final shortlist expect march,0.0,Neutral
99,"Top News Podcast: Ukraine likely to declare emergency; Zomato, Nykaa stocks rebound, BharatPe fires Madhuri Jain and more",top news podcast ukrain like declar emerg zomato nykaa stock rebound bharatp fire madhuri jain,0.5,Positive
100,"Stock Market Highlights: Sensex fails to stay in green, ends 69 pts lower; Kotak Bank, Titan down 2%",stock market highlight sensex fail stay green end pt lower kotak bank titan,-0.35,Negative
101,Experts discuss ASCI guidelines on 'misleading' crypto ads,expert discuss asci guidelin mislead crypto ad,0.0,Neutral
102,"Oil prices falls as Russia, Ukraine supply fears wane",oil price fall russia ukrain suppli fear wane,0.0,Neutral
103,Bikaji Foods International files for IPO,bikaji food intern file ipo,0.0,Neutral
104,Rupee rallies 25 paise to 74.59 against US dollar,rupe ralli pais us dollar,0.0,Neutral
105,"New age stocks rebound, Zomato, Nykaa rally over 5%, Paytm up 2%; should you add?",new age stock rebound zomato nykaa ralli paytm add,0.13636363636363635,Positive
106,Butterfly Gandhimathi hits 52-week high after Crompton Greaves Consumer deal,butterfli gandhimathi hit week high crompton greav consum deal,0.16,Positive
107,"Kotak Bank, ONGC, Butterfly Gandhimathi, PNC Infratech and more: Key stocks that moved the most on Feb 23",kotak bank ongc butterfli gandhimathi pnc infratech key stock move feb,0.0,Neutral
108,"Banks recover Rs 18,000 crore from Mallya, Nirav and Choksi: Centre tells SC",bank recov rs crore mallya nirav choksi centr tell sc,0.0,Neutral
109,Q3FY22 growth at 14%,q fy growth,0.0,Neutral
110,"Closing Bell: Sensex drops 501 pts from day's high, extends losses to 6th day amid Russia-Ukraine crisis",close bell sensex drop pt day high extend loss th day amid russia ukrain crisi,0.16,Positive
111,Why RHI Magnesita India is buzzing in trade,rhi magnesita india buzz trade,0.0,Neutral
112,Bikaji Foods International IPO: Snacks company files draft papers with SEBI,bikaji food intern ipo snack compani file draft paper sebi,0.0,Neutral
113,Oil price spike will impact EMs,oil price spike impact em,0.0,Neutral
114,Expect margins in 14-14.5% range: Gulf Oil Lubricants CFO,expect margin rang gulf oil lubric cfo,0.0,Neutral
115,"Sunteck Realty, Sobha shares jump 6%, DLF rallies 5%; what’s behind real estate stocks’ high rise",sunteck realti sobha share jump dlf ralli behind real estat stock high rise,-0.013333333333333336,Negative
116,View: Time to accumulate silver on dips for 28% upside,view time accumul silver dip upsid,0.0,Neutral
117,White Oak Capital Management believes current market volatility prompted by global cues,white oak capit manag believ current market volatil prompt global cue,0.0,Neutral
118,"Swiggy eyes $800 million IPO next year, says report",swiggi eye million ipo next year say report,0.0,Neutral
119,Adani Wilmar locked in 10% upper circuit after 25% fall from record high,adani wilmar lock upper circuit fall record high,0.08,Positive
120,"Aluminium hits record high of $3,420/tonne",aluminium hit record high tonn,0.16,Positive
121,Elon Musk accuses SEC of leaking information from federal probe,elon musk accus sec leak inform feder probe,-0.1,Negative
122,MC Pro: CSB Bank Q3 key highlights,mc pro csb bank q key highlight,0.0,Neutral
123,Ukraine crisis: World financial markets have not broken sweat since the Russian escalation-why?,ukrain crisi world financi market not broken sweat sinc russian escal,0.1,Positive
124,Key NSE IT official grilled by CBI in NSE colocation scam probe,key nse offici grill cbi nse coloc scam probe,0.0,Neutral
125,Market to see cases of 'Kabhi Khushi Kabhi Gham': Atul Suri,market see case kabhi khushi kabhi gham atul suri,0.0,Neutral
126,Momentumisers: Here’s why DLF is underperforming,momentumis dlf underperform,0.0,Neutral
127,Indian shares rise after five-day loss streak,indian share rise five day loss streak,0.0,Neutral
128,Some foreign shareholders dumped NSE shares just before SEBI order on Chitra Ramkrishna,foreign sharehold dump nse share sebi order chitra ramkrishna,-0.125,Negative
129,"Opening Bell: Indices end 5-day losing streak; Sensex rises over 300 points, Nifty holds 17,000 at open",open bell indic end day lose streak sensex rise point nifti hold open,0.0,Neutral
130,"Top stock tips by Sudarshan Sukhani, Mitessh Thakkar: ONGC, Marico, Dixon and more",top stock tip sudarshan sukhani mitessh thakkar ongc marico dixon,0.5,Positive
131,10 things to know before the opening bell on Feb 23,thing know open bell feb,0.0,Neutral
132,Global signal: Is market shrugging off fears over Russia-Ukraine conflict? Check key cues before market opens today,global signal market shrug fear russia ukrain conflict check key cue market open today,0.0,Neutral
133,Commodities round-up: Brent price pauses after hitting $99.50/bbl,commod round brent price paus hit bbl,-0.2,Negative
134,"Key bond market deals: NABARD, CanFin Homes, Muthoot Finance",key bond market deal nabard canfin home muthoot financ,0.0,Neutral
135,"Wednesday's top brokerage calls: Bandhan Bank, Infosys, BPCL and more",wednesday top brokerag call bandhan bank infosi bpcl,0.5,Positive
136,"MarketBuzz Podcast With Sonia Shenoy: Sensex, Nifty50 likely to make a positive start",marketbuzz podcast sonia shenoy sensex nifti like make posit start,0.0,Neutral
137,Oil settles near 2014 high on Russia-Ukraine escalation,oil settl near high russia ukrain escal,0.13,Positive
138,"Trade setup for Feb 23: Will Nifty50 respect key support at 16,800? Market cues, what analysts make of technical charts",trade setup feb nifti respect key support market cue analyst make technic chart,0.0,Neutral
139,"Hero MotoCorp, BPCL, Nykaa, Dilip Buildcon and more: Top stocks to watch out for on Feb 23",hero motocorp bpcl nykaa dilip buildcon top stock watch feb,0.5,Positive
140,"Societe Generale sells HDFC shares worth Rs 1,730 crore",societ general sell hdfc share worth rs crore,0.175,Positive
141,Should investors apply to LIC IPO? Here are key risks to know before applying,investor appli lic ipo key risk know appli,0.0,Neutral
142,"Semiconductor PLI scheme: Govt committed to executing projects with applications received, says Ashwini Vaishnaw",semiconductor pli scheme govt commit execut project applic receiv say ashwini vaishnaw,0.0,Neutral
143,Chintels Paradiso fiasco: Here's what homebuyers should be aware of before a new purchase,chintel paradiso fiasco homebuy awar new purchas,0.13636363636363635,Positive
144,"Rupee drops 29 paise, ends 5-day winning run as crude oil spikes nearly 4%",rupe drop pais end day win run crude oil spike nearli,0.050000000000000044,Positive
145,"Delhi High Court asks Centre, SEBI, RBI to respond to plea seeking to restrain Indiabulls Housing Finance promoter from selling stake",delhi high court ask centr sebi rbi respond plea seek restrain indiabul hous financ promot sell stake,0.16,Positive
146,Could Ukraine-Russia crisis escalation make beer costlier? A brokerage thinks so,could ukrain russia crisi escal make beer costlier brokerag think,0.0,Neutral
147,"Stock Market Highlights: Sensex ends 383 pts lower, Nifty below 17,100 amid Russia-Ukraine crisis; VIX surges 16%; ONGC up 1%",stock market highlight sensex end pt lower nifti amid russia ukrain crisi vix surg ongc,0.0,Neutral
148,"Indian bond yields rise, rupee falls as Ukraine tensions escalate",indian bond yield rise rupe fall ukrain tension escal,0.0,Neutral
149,Mahindra Finance raises Rs 300 cr by issuing bonds,mahindra financ rais rs cr issu bond,0.0,Neutral
150,"Paytm shares hit fresh low, drop below Rs 800-mark for first time",paytm share hit fresh low drop rs mark first time,0.18333333333333335,Positive
151,Russia-Ukraine crisis: Brent crude hovers around $100/barrel,russia ukrain crisi brent crude hover around barrel,-0.7,Negative
152,Commodity Champions: Experts discuss impact of Russia-Ukraine crisis on commodities,commod champion expert discuss impact russia ukrain crisi commod,0.0,Neutral
153,Brent oil near $100 per barrel amid escalation of Russia-Ukraine conflict,brent oil near per barrel amid escal russia ukrain conflict,0.1,Positive
154,"BPCL, Indiabulls Real Estate and more: Key stocks that moved the most on Feb 22",bpcl indiabul real estat key stock move feb,0.1,Positive
155,"Sensex, Nifty50 drop as Russia-Ukraine crisis rattles global shares; should investors buy the dip?",sensex nifti drop russia ukrain crisi rattl global share investor buy dip,0.0,Neutral
156,"Closing Bell: Sensex, Nifty50 extend losses to 5th session amid Russia-Ukraine tensions; VIX at 1-year peak",close bell sensex nifti extend loss th session amid russia ukrain tension vix year peak,0.0,Neutral
157,Explained: Russia-Ukraine conflict and its impact on commodities,explain russia ukrain conflict impact commod,0.0,Neutral
158,Russia-Ukraine conflict: Here's why auto ancillaries and Dr Reddy's are in focus,russia ukrain conflict auto ancillari dr reddi focu,0.0,Neutral
159,IndiaMART stock under pressure,indiamart stock pressur,0.0,Neutral
160,Gold prices near 13-month high as Ukraine crisis deepens,gold price near month high ukrain crisi deepen,0.13,Positive
161,RBI to conduct sell/buy swap auction for $5 billion,rbi conduct sell buy swap auction billion,0.0,Neutral
162,"Oil and gas shares mixed: BPCL sinks 3.5%, Indraprastha Gas down 4%, ONGC top gainer amid supply disruption concerns",oil ga share mix bpcl sink indraprastha ga ongc top gainer amid suppli disrupt concern,0.5,Positive
163,Standard Chartered sees no impact on economy unless crude prices hit $150/bbl,standard charter see impact economi unless crude price hit bbl,-0.35,Negative
164,Russia-Ukraine crisis unlikely to affect Indian agriculture: Kaveri Seeds,russia ukrain crisi unlik affect indian agricultur kaveri seed,0.0,Neutral
165,"Snowman Logistics bets on summer ice cream boom, QSR industry to drive demand",snowman logist bet summer ice cream boom qsr industri drive demand,0.0,Neutral
166,"'Best time to buy': Elixir Equities' Dipan Mehta bullish on Zomato, Nykaa, platform co stocks",best time buy elixir equiti dipan mehta bullish zomato nykaa platform co stock,1.0,Positive
167,"Despite growth challenge, IT cos still a safer bet: Dimensions Corp",despit growth challeng co still safer bet dimens corp,0.0,Neutral
168,Geopolitical shock could push oil above $100/bbl: Jahangir Aziz,geopolit shock could push oil bbl jahangir aziz,0.0,Neutral
169,Centre examining if SEBI took adequate action in NSE co-location case: Nirmala Sitharaman,centr examin sebi took adequ action nse co locat case nirmala sitharaman,0.1,Positive
170,IMFA expects to be debt-free by year-end,imfa expect debt free year end,0.4,Positive
171,Charting Trends: JM Financial’s Rahul Sharma bullish on Federal Bank and Infosys,chart trend jm financi rahul sharma bullish feder bank infosi,0.0,Neutral
172,"Top stock tips by Sudarshan Sukhani, Mitessh Thakkar: Biocon, Titan, Adani Enterprises and more",top stock tip sudarshan sukhani mitessh thakkar biocon titan adani enterpris,0.5,Positive
173,Worst hit on Nifty500 | Dhani Services shares crash 20% amid heavy volumes,worst hit nifti dhani servic share crash amid heavi volum,-1.0,Negative
174,"Crude price at $100/bbl not sustainable in long-term, says expert",crude price bbl not sustain long term say expert,-0.375,Negative
175,"Global stocks tumble, oil pops as Ukraine crisis deepens",global stock tumbl oil pop ukrain crisi deepen,0.0,Neutral
176,"Opening Bell: Sensex tanks over 900 points, Nifty below 17k amid rising Russia-Ukraine crisis; all sectors in red",open bell sensex tank point nifti k amid rise russia ukrain crisi sector red,0.0,Neutral
177,Global Signal: Asian markets trade sharply lower as Putin recognises Ukraine separatist regions,global signal asian market trade sharpli lower putin recognis ukrain separatist region,0.0,Neutral
178,Current geopolitical situation inflationary,current geopolit situat inflationari,0.0,Neutral
179,Commodities round-up: Brent crude rises above $97 a barrel,commod round brent crude rise barrel,-0.44999999999999996,Negative
180,10 things you should know before opening bell on Feb 22,thing know open bell feb,0.0,Neutral
181,"Key bond market deals: Tata Capital, Century Textiles, IOC",key bond market deal tata capit centuri textil ioc,0.0,Neutral
182,"Trade setup for Feb 22: Can Nifty take out 20-DMA decisively anytime soon? Key market cues, what analysts make of technical charts",trade setup feb nifti take dma decis anytim soon key market cue analyst make technic chart,0.0,Neutral
183,"Oil prices jump 7-year high, stocks slide as Russia orders troops to Ukraine regions",oil price jump year high stock slide russia order troop ukrain region,0.16,Positive
184,"IRCTC, Hero MotoCorp, Vedanta, HDFC Bank, and more: Top stocks to watch out for on Feb 22",irctc hero motocorp vedanta hdfc bank top stock watch feb,0.5,Positive
185,Government may propose 'new formula' to bring Aviation Turbine Fuel under GST ambit,govern may propos new formula bring aviat turbin fuel gst ambit,0.13636363636363635,Positive
186," ‘The best analogy is... cricket and betting,’ says official about NSE colocation scandal",best analog cricket bet say offici nse coloc scandal,1.0,Positive
187,"PharmEasy parent API Holdings, others get Sebi nod for IPOs",pharmeasi parent api hold other get sebi nod ipo,-0.125,Negative
188,"Explained: Chanakya, LIX, dark fibre; the lesser known aspects of NSE colocation scam",explain chanakya lix dark fibr lesser known aspect nse coloc scam,-0.075,Negative
189,"Explained: What is the NSE colocation controversy; Ravi Narain's, Chitra Ramkrishna's role in it",explain nse coloc controversi ravi narain chitra ramkrishna role,0.0,Neutral
190,"Stock Market Highlights: Sensex drops 458 pts from day's high, Nifty below 17,250; TCS down 2%; Butterfly Gandhimathi surges 8%",stock market highlight sensex drop pt day high nifti tc butterfli gandhimathi surg,0.16,Positive
191,"Paytm shares hit fresh low; should you buy, sell or hold One97 stock now?",paytm share hit fresh low buy sell hold one stock,0.15,Positive
192,"Businesses need to adapt to new models, unconventional thinking, says Pawan Munjal",busi need adapt new model unconvent think say pawan munjal,0.13636363636363635,Positive
193,Future Retail seeks more time from lenders to present debt recast plan,futur retail seek time lender present debt recast plan,0.0,Neutral
194,"Rupee extends gains for 5th day, rises by 11 paise as dollar, crude weaken",rupe extend gain th day rise pais dollar crude weaken,-0.7,Negative
195,Should you buy gold now? How analysts are viewing the Ukraine-Russia conflict,buy gold analyst view ukrain russia conflict,0.0,Neutral
196,"Hindalco, InterGlobe Aviation and more: Key stocks that moved the most on Feb 21",hindalco interglob aviat key stock move feb,0.0,Neutral
197,"Closing Bell: Sensex, Nifty close lower for 4th consecutive day; SmallCap index falls 2%",close bell sensex nifti close lower th consecut day smallcap index fall,0.0,Neutral
198,"Inside Out: Putting spotlight on Dixon Technologies' financials, key risks and triggers",insid put spotlight dixon technolog financi key risk trigger,0.0,Neutral
199,MC Pro: Should investors buy IPCA labs post 30% correction? Here's what experts say,mc pro investor buy ipca lab post correct expert say,0.0,Neutral
200,Crude prices to pull back if Russia-Ukraine crisis resolves: Fat Prophets,crude price pull back russia ukrain crisi resolv fat prophet,-0.35,Negative
201,Don’t expect big returns from tech stocks,expect big return tech stock,0.0,Neutral
202,Decoding identity of Chitra Ramkrishna’s mysterious yogi: some possible clues,decod ident chitra ramkrishna mysteri yogi possibl clue,0.0,Neutral
203,Dr Reddy's gains on back of Duvvada facility getting EIR from US FDA,dr reddi gain back duvvada facil get eir us fda,0.0,Neutral
204,Nickel hits 11-year peak,nickel hit year peak,0.0,Neutral
205,Explained: Why SEBI plans to tighten IPO pricing rules for new-age tech firms,explain sebi plan tighten ipo price rule new age tech firm,-0.03181818181818183,Negative
206,LIC IPO deep dive: What numbers say about the much awaited market debut,lic ipo deep dive number say much await market debut,0.1,Positive
207,Escalating energy prices worrisome,escal energi price worrisom,0.0,Neutral
208,NSE IPO likely to be delayed by a year amid investigations: Report,nse ipo like delay year amid investig report,0.0,Neutral
209,Dr Reddy's up 2% post deal with Binnopharm Group,dr reddi post deal binnopharm group,0.0,Neutral
210,"Top stock tips by Sudarshan Sukhani, Mitessh Thakkar: Voltas, GAIL and more",top stock tip sudarshan sukhani mitessh thakkar volta gail,0.5,Positive
